Company Name,Year,Advertising % TR,Calculated Tax Rate %,Current Ratio,Earnings Before Tax Margin %,EBITDA Margin %,Gross Margin %,Interest Coverage,Inventories % TA,Inventory Turnover,LT Debt to Equity,Net Current Assets % TA,Net PPE % TA,Net PPE Turnover,Net Profit Margin %,Operating Margin %,Quick Ratio,R&D % TR,Revenue per Employee,ROA % (Net),ROE % (Net),ROI % (Operating),Selling Gen & Admin % TR,Total Asset Turnover,Total Debt to Equity
Weyerhaeuser Co,2020,-,18.84,1.69,13.04,22.08,27.68,3.48,2.72,12.68,0.61,4.04,85.30,0.54,10.58,20.23,1.07,0.07,801475,4.86,9.40,10.57,5.71,0.46,0.63
Whirlpool Corp,2020,1.40,26.39,1.08,7.48,11.26,19.79,9.62,10.75,6.75,1.33,3.37,15.72,5.97,5.56,8.31,0.72,2.34,248754,5.50,30.83,18.57,9.65,0.99,1.41
Williams Cos Inc (The),2020,-,7.94,0.62,12.89,46.12,61.93,1.88,0.31,22.52,1.82,-2.02,65.50,0.26,2.73,28.53,0.49,-,1624374,0.47,1.67,6.30,6.04,0.17,1.90
Willis Towers Watson Public Ltd Co,2020,-,23.77,1.05,14.31,24.71,-,4.97,-,-,0.43,2.51,2.63,9.05,10.65,12.65,0.24,-,202309,2.69,9.43,7.30,58.89,0.25,0.52
Wynn Resorts Ltd,2020,1.35,-,2.03,-84.08,-24.89,16.83,-,0.48,22.52,-,13.93,66.31,0.22,-98.63,-58.78,1.95,-,76005,-14.86,-296.41,-9.88,37.61,0.15,-
Xcel Energy Inc,2020,-,-0.42,0.77,12.38,37.37,43.07,2.65,0.99,12.16,1.35,-1.79,79.60,0.28,12.78,18.36,0.41,-,1011217,2.81,10.56,6.28,0,0.22,1.42
"Xilinx, Inc.",2020,-,4.95,2.68,26.37,28.88,66.88,-,6.48,3.31,0.32,38.85,7.94,9.04,25.06,25.04,2.34,26.99,648406,16.15,30.71,20.74,13.67,0.64,0.54
Xylem Inc,2020,-,10.95,1.80,5.80,9.64,37.53,5.24,6.38,5.55,0.84,17.91,7.51,7.40,5.21,7.53,1.43,3.84,291178,3.08,8.55,6.46,23.44,0.59,1.04
Yum! Brands Inc,2020,1.20,11.37,1.01,18.05,29.99,47.54,2.71,-,-,-,0.24,21.10,4.69,15.99,25.99,0.75,-,148330,16.27,-,54.46,18.83,1.02,-
Zebra Technologies Corp.,2020,0.56,10,0.69,12.59,17.58,45.03,8.57,9.51,4.96,0.41,-10.75,5.10,16.64,11.33,14.64,0.37,10.18,504074,9.97,25.24,19.96,17.69,0.88,0.58
Zimmer Biomet Holdings Inc,2020,-,-,1.99,-3.91,13.81,69.70,-,10.04,0.88,0.63,10.35,8.39,3.40,-1.98,-1.25,0.88,5.30,350265,-0.56,-1.13,-0.43,45.24,0.29,0.67
"Zions Bancorporation, N.A.",2020,-,19.79,-,22.84,-,-,-,-,-,-,-,1.48,2.50,18.32,-,-,-,303158,0.71,7.05,-,-,0.04,0.17
Zoetis Inc,2020,3.49,18.04,3.05,29.90,38.74,69.18,10.25,11.96,1.35,1.75,32.63,16.18,3.21,24.54,33.62,2.12,6.94,589094,12.99,50.44,22.24,25.86,0.53,1.91
3M Co,2019,1.08,19.78,1.41,17.77,23.88,46.68,16.47,9.26,4.03,1.75,8.39,20.90,3.56,14.22,18.86,0.84,5.95,334183,11.26,46.02,22.04,21.87,0.79,2.03
Abbott Laboratories,2019,-,9.57,1.44,12.78,24.03,58.53,7.87,6.36,3.26,0.54,7.08,11.84,4.09,11.56,14.21,0.88,7.65,298168,5.46,11.97,9.13,30.61,0.47,0.58
AbbVie Inc,2019,3.31,6.46,3.18,25.33,35.93,77.64,8.60,2.03,4.35,-,38.08,3.32,11.38,23.69,39.03,2.91,20.42,1108867,10.62,-,28.72,20.87,0.45,-
"ABIOMED, Inc.",2019,-,1.65,6.39,34.23,36.03,83.16,29.37,7.68,1.98,-,54.18,13.75,5.87,33.66,29.22,5.50,12.15,561220,28.14,31.85,27.65,41.79,0.84,-
Accenture plc,2019,0.20,22.48,1.40,14.47,15.34,30.81,-,-,-,0,14.73,4.67,32.55,11.06,14.59,0.55,1.85,87835,17.62,38.58,50.80,16.22,1.59,0
"Activision Blizzard, Inc.",2019,9.05,7.96,2.50,25.17,30.71,67.73,146.09,0.16,55.84,0.21,22.06,1.27,24.26,23.16,24.76,2.28,15.38,705326,7.98,12.44,10.89,25.55,0.34,0.21
Adobe Inc,2019,1.98,7.90,0.79,28.69,32.60,85.03,36.89,-,-,0.09,-8.17,6.23,9.46,26.42,29.25,0.70,17.28,494919,14.97,29.76,23.28,36.92,0.57,0.39
Advance Auto Parts Inc,2019,1.21,23.65,1.27,6.57,9.11,43.82,16.97,39.40,1.24,0.21,10.83,12.74,6.95,5.01,6.97,0.25,-,145309,4.81,13.75,15.27,36.85,0.96,0.21
Advanced Micro Devices Inc,2019,3.22,8.33,1.95,5.53,8.81,42.61,7.99,16.29,4.23,0.17,37.13,8.29,15.92,5.07,9.37,1.42,22.98,592061,6.46,16.71,21.71,11.14,1.28,0.17
AES Corp,2019,-,35.16,1.03,9.82,26.60,23.05,2.69,1.45,14.74,4.70,0.40,67.09,0.46,2.97,19.31,0.57,-,-,0.92,7.60,8.31,1.92,0.31,5.18
AFLAC Inc,2019,-,25.67,-,19.93,-,-,-,-,-,-,-,0.38,43.57,14.81,-,-,-,1901867,2.25,12.61,-,-,0.15,0.22
"Agilent Technologies, Inc.",2019,0.70,-16.54,1.53,17.80,20.69,54.33,24.76,7.18,3.58,0.38,11.73,8.99,6.18,20.74,18.23,1.11,7.82,316748,11.90,23,13.92,28.28,0.57,0.51
Air Products & Chemicals Inc,2019,-,23.15,2.54,23.26,36.56,33,15.65,2.05,15.24,0.29,14.77,54.57,0.88,19.73,24.04,2.13,0.82,503893,9.23,16.06,14.97,8.41,0.47,0.30
Akamai Technologies Inc,2019,-,10.02,3.22,18.40,34.15,65.87,36.57,-,-,0.50,21.95,16.44,2.81,16.52,18.97,3.01,9.03,374627,7.67,13.96,10.71,35.94,0.46,0.50
"Alaska Air Group, Inc.",2019,0.82,24.31,0.64,11.57,16.63,58.09,50.62,0.55,55.76,0.29,-8.96,53.12,1.28,8.76,12.11,0.58,-,363844,6.43,19.03,18.20,32.41,0.73,0.35
Albemarle Corp.,2019,-,15.66,1.58,15.68,22.40,35.04,11.55,7.80,3.17,0.73,8.28,49.79,0.91,14.86,18.56,0.91,1.62,598238,6.11,14.19,10.86,14.86,0.41,0.78
Alexandria Real Estate Equities Inc,2019,-,-,0.18,25.72,71.03,70.91,2.14,-,-,0.76,-6.49,1.07,10.45,23.72,24.32,0.17,-,3488146,2.21,4.48,2.62,7.11,0.09,0.76
Align Technology Inc,2019,4.95,19.97,1.68,23.38,26.14,72.46,-,4.48,7.91,-,26.49,25.26,4.17,18.40,22.54,1.46,6.54,165643,19.45,34.07,41.75,44.54,1.06,-
Allegion Plc,2019,-,15.38,1.98,16.65,20.20,43.88,10.43,9.10,5.82,1.88,16.68,9.82,10.05,14.08,19.80,1.34,-,259455,13.91,57.06,26.40,24.08,0.99,1.89
Alliant Energy Corp,2019,-,11.78,0.43,15.99,39.02,39.91,2.85,1.36,9.98,1.06,-7.06,78.36,0.29,15.56,21.32,0.11,-,1014095,3.53,11.59,6.99,0,0.23,1.25
Allstate Corp,2019,-,20.40,-,13.63,-,-,-,-,-,-,-,0.95,40.80,10.85,-,-,-,965111,4.17,20.49,-,-,0.38,0.26
Alphabet Inc,2019,4.20,13.33,3.37,24.48,30.32,55.58,-,0.36,68.28,0.02,38.91,26.69,2.43,21.22,21.15,3.21,16.07,1361298,13.50,18.12,17.66,17.31,0.64,0.02
Altria Group Inc,2019,0.13,-,0.59,-3.82,2,50.62,8.07,4.65,5.36,4.35,-6.80,4.06,12.76,-5.15,41.12,0.28,0.67,3439726,-2.46,-12.31,27.61,8.86,0.48,4.51
Amazon.com Inc,2019,3.92,16.99,1.10,4.98,10.64,40.99,18.93,9.10,8.79,0.38,3.78,32.28,4.17,4.13,5.18,0.86,-,351531,5.97,21.95,17.23,35.73,1.45,0.38
Amcor plc,2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ameren Corp,2019,-,17.91,0.57,17.19,41.69,38.27,3.64,1.71,7.47,1.11,-3.71,84.25,0.25,14.01,21.44,0.30,-,633916,2.95,10.55,7.34,-,0.21,1.22
American Airlines Group Inc,2019,0.28,25.27,0.45,4.93,12.11,54.58,3.17,3.09,12.33,-,-16.84,58.33,1.32,3.68,6.70,0.31,-,342319,2.80,-,12.64,31.05,0.76,-
American Electric Power Co Inc,2019,-,-0.70,0.40,11.79,36.29,41.76,2.42,1.54,8.67,1.28,-8.20,79.24,0.27,12.35,16.66,0.21,-,893922,2.66,9.92,5.54,0,0.22,1.50
American Express Co.,2019,-,19.81,-,17.93,-,-,-,-,-,-,-,2.44,10.17,14.37,-,-,-,728992,3.49,29.80,-,-,0.24,2.51
American International Group Inc,2019,-,22.05,-,10.63,-,-,-,-,-,-,-,-,-,6.73,-,-,-,1081435,0.66,5.49,-,-,0.10,0.54
American Tower Corp (New),2019,-,-0.01,0.47,25.28,47.35,70.76,3.50,-,-,4.18,-6.85,28.23,0.65,24.90,35.47,0.40,-,1389861,4.98,36.33,9.67,9.64,0.20,4.76
"American Water Works Co, Inc.",2019,-,25.45,0.63,23.07,47.73,57.23,3.15,0.19,36.33,1.41,-3.35,80.38,0.20,17.20,33.35,0.25,-,530882,2.83,10.36,8.02,0,0.16,1.54
Ameriprise Financial Inc,2019,-,15.19,0.67,17.21,20,44.21,11.43,-,-,0.82,-3.61,-,-,14.60,18.86,0.67,-,1037360,1.31,33.45,23.24,25.35,0.09,0.86
AmerisourceBergen Corp.,2019,-,11.68,0.95,0.54,0.81,2.86,7.05,28.24,15.18,1.51,-3.70,4.52,98.06,0.48,0.62,0.53,-,8163142,2.23,29.44,14.86,1.67,4.67,1.56
AMETEK Inc,2019,-,19.49,1.42,20.74,24.42,34.65,13.31,6.34,5.40,0.44,6.09,5.58,9.35,16.70,22.82,0.79,3.14,285003,9.31,18.41,15.95,11.83,0.56,0.54
Amgen Inc,2019,-,14.18,1.44,39.11,44.13,81.35,18.05,6,1.34,2.79,9.39,8.25,4.73,33.57,41.41,1.06,17.62,998376,12.44,70.73,22.50,22.04,0.37,3.09
Amphenol Corp.,2019,-,22.19,1.97,18.19,22.53,31.80,13.77,12.11,4.41,0.71,19.22,9.24,8.77,14.04,19.69,1.24,2.85,111154,11.07,27.03,20.59,11.81,0.79,0.80
Analog Devices Inc,2019,-,8.26,1.32,24.80,41.99,67,7.82,2.85,3.30,0.44,2.23,5.70,5.06,22.75,28.55,0.85,18.87,366312,6.53,12.04,9.94,10.82,0.29,0.47
Ansys Inc.,2019,-,13.64,2.24,34.47,35.41,89.03,-,-,-,0.12,17.78,1.73,20.87,29.77,33.98,2.13,19.67,369730,11.14,14.79,15.60,34.38,0.37,0.14
Anthem Inc,2019,0.45,19.68,1.65,5.74,7.43,19.61,9.02,-,-,0.56,19.90,4.05,35.52,4.61,6.46,1.54,-,1476105,6.45,15.95,13.52,12.82,1.40,0.63
Aon plc (Ireland),2019,-,15.91,1.06,16.95,24.79,-,7.25,-,-,1.96,3.08,2.11,18.22,13.91,19.69,0.26,-,220260,5.49,40.71,20.55,75.18,0.39,2.17
APA Corp,2019,-,-,1.06,-46.92,0.92,72.66,-,2.77,3.88,2.25,0.59,78.19,0.39,-55.42,-39.71,0.70,-,2026873,-17.90,-64.95,-18.38,6.33,0.32,2.25
Apple Inc,2019,-,15.94,1.54,25.27,29.56,37.82,-,1.21,40.13,1.01,16.87,11.04,6.63,21.24,24.57,1.38,6.23,1904298,15.74,56.07,30.51,7.01,0.74,1.19
"Applied Materials, Inc.",2019,-,17.22,2.30,22.38,25.03,43.72,41.36,18.26,2.29,0.57,30.27,8.04,9.98,18.52,22.93,1.38,14.06,665824,14.75,36.05,26.17,6.72,0.80,0.65
Aptiv PLC,2019,-,11.72,1.31,7.84,12.87,18.43,8.45,9.55,9.14,1.04,9.40,24.59,4.43,6.90,8.89,0.74,-,101823,7.63,27.21,15.96,7.49,1.11,1.14
Archer Daniels Midland Co.,2019,-,18.43,1.55,1.75,3.36,6.41,6.43,20.84,6.73,0.40,17.30,22.97,6.45,2.13,2.09,0.36,0.24,1697008,3.25,7.22,4.87,3.86,1.52,0.46
Arista Networks Inc,2019,-,0.28,5.81,35.77,37.11,64.06,105.27,5.83,3.41,-,68.68,0.94,42.06,35.67,33.42,5.22,19.20,1048133,23.66,34.13,31.76,11.44,0.66,-
Assurant Inc,2019,-,30.24,-,5.50,-,-,-,-,-,-,-,0.98,24.42,3.79,-,-,-,710338,0.90,7.11,-,-,0.24,0.36
AT&T Inc,2019,3.38,18.92,0.79,10.19,26.03,53.56,3.32,-,-,0.82,-2.56,23.59,1.39,7.67,15.43,0.50,-,736557,2.57,7.55,7.90,21.76,0.33,0.89
Atmos Energy Corp.,2019,-,21.36,0.38,22.41,39.78,70.40,7.23,1.02,5.54,0.61,-5.62,88.18,0.26,17.62,25.71,0.20,-,607590,4.05,9.72,8.22,21.72,0.23,0.69
Autodesk Inc,2019,1.46,-,0.70,-1.66,3.37,88.87,-,-,-,-,-14.40,3.17,17.44,-3.14,-0.97,0.62,28.21,267688,-1.83,-,-1.56,59.30,0.58,-
Automatic Data Processing Inc.,2019,-,23.72,1.05,21.20,22.71,42.95,93.63,-,-,0.37,4.09,1.82,18.20,16.17,21.34,0.13,4.49,244400,5.81,51.76,47.02,21.62,0.36,0.37
"AutoZone, Inc.",2019,0.74,20.39,0.91,17.12,21.87,53.65,11.99,43.65,1.33,-,-4.89,44.45,2.71,13.63,18.68,0.09,-,121582,16.54,-,61.53,34.97,1.21,-
"AvalonBay Communities, Inc.",2019,-,1.65,0.50,34,71.22,77.84,4.08,-,-,0.66,-0.85,-,-,33.81,35.76,0.08,-,744595,4.19,7.27,4.62,2.50,0.12,0.66
Avery Dennison Corp,2019,-,-22.73,1.04,3.53,6.59,26.93,10.16,12.08,7.86,1.25,1.58,22.06,6.04,4.29,10.90,0.65,1.31,236317,5.71,28.20,25.48,15.28,1.33,1.61
Baker Hughes Company,2019,-,64.01,1.52,3.16,8.57,18.59,4.53,8.63,4.21,0.29,9.76,11.69,3.82,0.54,4.51,0.96,2.88,350559,0.24,0.65,4.12,11.88,0.45,0.29
Ball Corp,2019,-,11.68,0.88,5.30,12.40,19.79,2.88,7.34,7.23,2.15,-3.99,25.75,2.55,4.93,8.12,0.61,0.38,626995,3.34,17.67,8.90,3.63,0.68,2.65
Bank of America Corp,2019,-,16.25,-,28.84,-,-,-,-,-,-,-,0.43,11.10,24.15,-,-,-,546101,1.15,10.35,-,-,0.05,0.90
Bank of New York Mellon Corp,2019,-,20.05,-,26.83,-,-,-,-,-,-,-,0.95,7.63,21.33,-,-,-,430207,1.19,10.82,-,-,0.06,0.66
Bath & Body Works Inc,2019,3.60,24.85,1.64,6.47,13.84,37.01,3.47,15.43,6.70,-,15.75,34.83,4.65,4.87,10.09,0.89,-,149307,7.95,-,26.84,26.92,1.63,-
Baxter International Inc,2019,-,-4.23,2.32,8.54,16.11,41.90,24.96,9.09,3.99,0.61,23.49,24.80,2.51,8.81,15.60,1.62,5.24,227240,5.92,12.77,14.46,22.31,0.67,0.68
"Becton, Dickinson & Co",2019,-,-4.85,1.18,6.80,23.46,47.94,2.81,4.98,3.58,0.86,1.95,10.93,3.13,7.13,10.18,0.51,6.14,246672,2.33,5.86,4.24,25.05,0.33,0.92
Berkley (WR) Corp,2019,-,19.81,-,10.79,-,-,-,-,-,-,-,1.58,18.85,8.63,-,-,-,1054610,2.65,11.85,-,-,0.31,0.43
Berkshire Hathaway Inc,2019,-,20.59,-,39.87,-,-,-,-,-,-,-,19.48,1.63,31.98,-,-,-,650360,10.67,21.05,-,-,0.33,0.24
Best Buy Inc,2019,1.81,22.46,1.18,4.40,6.37,23.23,26.03,41.93,6.20,0.40,10.52,19.46,17.44,3.41,4.43,0.40,-,343974,11.31,42.44,39.44,18.69,3.31,0.42
Bio-Rad Laboratories Inc,2019,-,22.22,2.41,97.81,103.31,54.38,-,6.92,1.85,0,15.92,6.23,4.59,76.08,9.93,1.67,8.77,284687,25.83,35.98,4.31,35.67,0.34,0.08
Bio-Techne Corp,2019,0.57,14.23,4.05,15.69,29.60,66.31,6.94,4.83,2.72,0.42,16.48,8.17,4.77,13.46,20.55,2.98,8.74,317336,5.53,8.56,9.50,37.02,0.41,0.43
Biogen Inc,2019,0.55,16.25,1.72,49.56,54.76,86.40,104.36,2.95,2.26,0.33,12.92,11.92,4.20,40.96,48.92,1.31,15.86,1942959,22.42,44.64,36.76,16.52,0.55,0.45
BlackRock Inc,2019,-,21.79,2.48,39.80,43.12,-,27.34,-,-,0.15,2.84,0.42,21.41,30.79,38.18,2.48,-,897469,2.73,13.58,14.64,54.43,0.09,0.15
Boeing Co. (The),2019,-,-,1.05,-2.95,0.04,5.83,-,57.34,1.04,-,3.68,9.36,6.09,-0.83,-3.48,0.23,4.20,475227,-0.51,-,-16.20,5.11,0.61,-
Booking Holdings Inc,2019,-,18.35,1.83,39.55,42.25,-,46.89,-,-,1.29,20.87,3.45,21.62,32.29,35.48,1.68,-,570682,22.07,66.11,33.41,53.18,0.68,1.45
BorgWarner Inc,2019,-,37.96,1.65,12.13,16.87,20.66,26.19,8.32,10.16,0.36,15.53,30.15,3.49,7.34,11.07,1.13,4.06,350621,7.54,16.70,17.32,8.59,1.03,0.42
Boston Properties Inc,2019,-,-,3.04,20.45,57.36,63.38,2.53,-,-,2.12,6.11,-,-,17.62,35.32,2.83,-,3895476,2.51,9.02,6.04,5.11,0.14,2.12
Boston Scientific Corp.,2019,-,-584.13,0.97,6.40,13.42,70.98,3.42,5.17,2.27,0.62,-0.55,6.80,5.56,43.78,14.13,0.49,10.94,298194,18.23,41.59,7.65,36.71,0.42,0.72
Bristol Myers Squibb Co.,2019,2.42,30.45,1.60,19.03,28,69.10,9.01,3.30,2.94,0.84,8.50,4.81,4.64,13.15,22.62,1.26,23.52,871500,4.17,10.48,9.88,18.63,0.32,0.91
Broadcom Inc (DE),2019,-,-22.91,1.44,9.85,41.51,55.24,2.56,1.29,6.81,1.31,4.47,3.80,8.72,12.05,15.24,1.20,20.78,1192583,4.64,10.58,6.60,7.56,0.39,1.43
Broadridge Financial Solutions Inc,2019,0.09,20.62,1.30,13.92,18.39,28.20,15.62,-,-,1.30,6.18,4.87,22.19,11.05,14.96,1.16,-,396564,13.42,43.40,27.51,13.24,1.21,1.30
Brown & Brown Inc,2019,-,24.23,1.22,21.99,25.62,-,9.10,-,-,0.45,5.90,1.95,19.21,16.66,24.23,0.76,-,237248,5.57,12.55,12.31,54.69,0.33,0.46
Brown-Forman Corp,2019,-,19.87,3.87,31.35,35.92,65.16,14.30,29.58,0.80,1.39,39.23,15.88,4.17,25.12,34.42,1.29,-,707234,16.51,56.36,28.75,31.20,0.66,1.48
Cadence Design Systems Inc,2019,0.36,-106.48,1.74,20.50,21.42,88.60,52.77,1.66,6.34,0.16,14.80,8.22,8.87,42.33,21.05,1.49,40.06,289227,34.04,58.48,23.58,26.60,0.80,0.16
Caesars Entertainment Inc (New),2019,1.14,34.51,0.88,5.04,23.93,53.08,1.27,0.33,60.87,2.95,-1.49,46.35,0.92,3.20,14.35,0.42,-,163113,1.40,7.55,7.32,23.97,0.44,3.17
Campbell Soup Co,2019,-,24.16,0.58,7.71,16.87,33.22,2.97,6.56,5.25,6.44,-10.78,18.67,2.86,2.60,12.95,0.18,1.12,427856,1.53,17.15,10.11,17.91,0.59,7.68
Capital One Financial Corp,2019,-,19.51,-,20.36,-,-,-,-,-,-,-,1.12,7.88,16.42,-,-,-,650597,1.45,10.11,-,-,0.09,0.96
"Cardinal Health, Inc.",2019,-,22.04,1.07,1.20,1.72,4.70,7.01,31.30,11.04,1.20,4,5.75,60.10,0.94,1.42,0.46,-,2940081,3.37,22.01,14,3.08,3.60,1.27
Carmax Inc.,2019,0.92,24.30,2.45,6.12,7.47,13.65,15.68,13.46,6.39,4.11,10.16,15.11,6.61,4.64,6.54,0.14,-,700420,4.65,25.25,6.99,9.52,1,4.23
Carnival Corp,2019,3.50,2.32,0.23,14.69,25.94,38.01,17.90,0.95,29.44,0.38,-15.69,84.63,0.57,14.36,15.73,0.10,-,226359,6.84,12.01,9.15,11.91,0.48,0.45
Carrier Global Corp,2019,-,21.22,1.33,13.09,14.12,29.12,-,5.94,9.79,-,6.65,7.42,11.22,11.37,12.12,0.82,2.15,353529,9.59,15.10,16.10,14.84,0.84,-
Catalent Inc,2019,-,14.29,2.08,6.37,16.35,31.97,2.47,4.16,7.35,1.26,11.73,24.85,1.79,5.46,10.88,1.57,2.16,204715,2.56,8.14,6.05,20.33,0.47,1.29
Caterpillar Inc.,2019,-,22.35,1.47,14.52,20.89,31.91,7.70,14.36,3.21,1.80,16.02,16.45,4.06,11.33,16.81,0.98,3.15,525904,7.76,42.57,17.59,9.59,0.69,2.58
Cboe Global Markets Inc,2019,-,26.05,2.16,20.09,22.51,45.55,14.96,-,-,0.26,6.37,0.92,42.06,15.02,21.52,1.90,-,3032928,7.19,11.37,12.38,13.48,0.48,0.26
CBRE Group Inc,2019,-,5.82,1.17,5.02,6.25,21.78,14.46,-,-,0.28,6.78,5.16,30.67,5.37,5.19,1,-,238941,8.65,22.96,14.58,14.38,1.61,0.44
CDW Corp,2019,-,22.42,1.24,5.27,6.38,16.86,7.11,7.64,28.14,3.42,10.53,4.54,69.46,4.09,6.29,1.01,-,72129600,9.72,76.14,26.79,10.57,2.38,3.45
Celanese Corp (DE),2019,-,15.38,1.58,12.80,20.10,25.50,7.67,10.95,4.50,1.36,10.67,39.18,1.69,13.53,13.28,0.94,1.06,816308,9.07,31.03,12.93,7.67,0.67,1.56
Centene Corp,2019,-,26.54,1.57,2.39,3.74,17.84,4.32,-,-,1.09,18.03,5.17,39.01,1.77,2.39,1.49,-,1318710,3.67,11.26,8.12,8.75,2.08,1.09
"CenterPoint Energy, Inc",2019,-,19.74,0.99,5.68,20.95,24.71,2.16,1.54,19.71,1.70,-0.12,59.10,0.70,6.43,9.97,0.75,-,862502,2.53,9.64,6.03,0,0.39,1.81
Ceridian HCM Holding Inc,2019,0.66,-129.45,1.07,4.16,13.06,44.68,2.23,-,-,0.35,4.14,2.11,7.08,9.55,8.77,0.11,-,164458,1.40,4.61,3.04,35.91,0.15,0.36
Cerner Corp.,2019,-,19.11,2.04,11.50,18.72,34.19,-,0.34,155.42,0.24,15.51,26.96,3.17,9.30,10.55,1.64,12.95,208330,7.81,11.48,11.23,9.15,0.84,0.24
CF Industries Holdings Inc,2019,-,16.22,1.46,16.93,40.28,25.58,4.46,2.88,10.35,1.37,2.54,67.12,0.55,10.74,21.09,0.78,-,1530000,3.97,16.84,13.34,5.21,0.37,1.37
Charles River Laboratories International Inc.,2019,-,16.45,1.44,11.60,21.42,36.56,5.92,3.42,11.53,1.13,6.63,22.25,2.66,9.61,13.40,1.06,-,153709,5.91,17.12,10.82,19.75,0.61,1.16
Charter Communications Inc (New),2019,-,18.06,0.52,5.31,30.65,51.54,1.73,-,-,2.40,-3.99,23.34,1.31,3.64,14.32,0.46,-,481220,1.13,4.93,5.97,6.65,0.31,2.51
Chevron Corporation,2019,-,48.61,1.07,3.78,24.26,45.32,7.94,2.46,13.87,0.16,0.76,63.39,0.92,2,4.32,0.72,0.34,3039751,1.19,1.96,3.52,2.83,0.60,0.19
Chipotle Mexican Grill Inc,2019,2.53,23.59,1.61,8.20,14.95,20.45,58,0.51,186.52,-,7.95,28.58,3.94,6.27,7.95,1.44,-,67306,9.50,22.41,28.42,8.08,1.52,-
Chubb Ltd,2019,-,17.16,-,13.55,-,-,-,-,-,-,-,-,-,13.03,-,-,-,1035939,2.58,8.43,-,-,0.20,0.27
Church & Dwight Co Inc,2019,-,20.57,0.88,17.60,20.76,45.53,11.42,6.27,5.93,0.68,-2.04,8.61,7.44,14.13,19.28,0.46,2.15,907854,9.68,24.05,18.08,26.25,0.68,0.77
Cigna Corp (New),2019,-,22.07,-,4.28,-,-,-,-,-,-,-,2.84,34.21,3.32,-,-,-,2083664,3.30,11.82,-,-,0.99,0.80
Cincinnati Financial Corp.,2019,-,19.22,-,31.20,-,-,-,-,-,-,-,0.81,39.42,25.20,-,-,-,1539239,8.44,22.57,-,-,0.33,0.09
Cintas Corporation,2019,-,19.94,1.98,15.99,20.70,45.39,11.28,4.50,12.24,0.85,14.91,19.24,4.90,12.84,16.45,0.89,-,153162,12.30,29.41,19.88,28.74,0.96,0.95
Cisco Systems Inc,2019,0.39,20.25,1.51,28.07,27.50,62.94,-,1.41,11.92,0.43,16.41,2.85,17.96,22.39,27.39,1.39,12.67,685726,11.28,30.36,22.45,21.96,0.50,0.73
Citigroup Inc,2019,-,18.53,-,23.10,-,-,-,-,-,-,-,-,-,18.75,-,-,-,517245,1,9.96,-,-,0.05,1.29
Citizens Financial Group Inc (New),2019,-,20.44,-,27.91,-,-,-,-,-,-,-,0.46,10.39,22.20,-,-,-,448111,1.10,8.33,-,-,0.05,0.41
Citrix Systems Inc,2019,3,-33.82,0.83,16.92,20.08,84.59,19.36,0.36,21.83,0.89,-7.20,5.28,12.67,22.65,17.81,0.72,17.24,358400,14.32,97.59,26.56,48.28,0.63,0.89
Clorox Co (The),2019,-,20.22,0.91,16.24,20.68,43.90,11.88,10.01,6.85,4.09,-2.64,20.21,6.12,13.20,17.98,0.51,2.19,706136,16.12,127.63,34.63,23.62,1.22,4.80
CME Group Inc,2019,-,22.84,1.03,51.62,61.74,-,14.54,-,-,0.14,1.39,0.72,9.81,43.48,53.16,1.02,-,1116514,2.77,8.13,8.60,29.71,0.06,0.14
CMS Energy Corp,2019,-,17.95,0.86,11.96,31.75,37.46,2.42,2.25,6.82,2.40,-1.39,70.52,0.37,9.93,18.10,0.47,-,778814,2.65,13.92,7.16,4.86,0.27,2.62
Coca-Cola Co (The),2019,-,18.50,0.76,26.13,30.45,60.77,26.33,3.91,4.76,1.45,-7.60,12.55,3.91,23.94,27.06,0.56,-,432320,10.52,49.61,16.50,32.48,0.44,2.25
Cognizant Technology Solutions Corp.,2019,-,25.29,2.55,15.15,16.42,36.64,-,-,-,0.06,28.56,8.08,12.42,10.98,14.62,2.24,-,57378,11.47,16.41,20.50,17.71,1.05,0.07
Colgate-Palmolive Co.,2019,10.79,23.51,1.03,20.98,22.30,59.42,24.59,9.31,4.81,62.68,0.94,24.94,4.11,15.08,22.72,0.57,1.79,457522,17.41,31560,50.13,35.53,1.15,67.07
Comcast Corp,2019,-,21.61,0.84,15.60,27.75,68.39,4.63,-,-,1.18,-1.86,18.34,2.35,11.99,19.39,0.55,-,573379,5.07,16.92,11.47,37.11,0.42,1.24
"Comerica, Inc.",2019,-,21.80,-,40.14,-,-,-,-,-,-,-,0.62,8.19,31.39,-,-,-,480247,1.66,16.15,-,-,0.05,0.47
Conagra Brands Inc,2019,2.66,26.58,1.28,8.63,13.25,27.81,3.10,7.08,5.36,1.44,2.66,10.78,4.76,7.11,12.73,0.50,0.59,531367,4.17,12.30,9.53,15.08,0.59,1.45
ConocoPhillips,2019,-,23.80,2.40,25.97,44.70,53.19,13.24,1.46,16.89,0.42,14,59.94,0.83,19.60,28.09,1.92,0.22,3525962,10.23,21.49,21.29,1.52,0.52,0.43
Consolidated Edison Inc,2019,-,17.05,0.68,13.81,34.16,53.81,2.70,0.61,16.36,1.03,-3.47,75.57,0.29,10.68,21.28,0.49,0.19,844459,2.40,7.73,7.26,0,0.22,1.11
